n,id,stage,prompt,asked_at,route_path,tool_id,final_tool_id,routed_tool_id,storage,queued,http_status,status,reason,question_match,verdict,ui_answer_short
1,A1,A,How were sales today?,2026-06-07T16:27:15Z,deterministic,toast.sales_summary,toast.sales_summary,toast.sales_summary,toast_analytics_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:45 AM | Today Toast Analytics: net sales are $150.89 on 5 orders (avg $30.18). Gross sales are $150.89. Guest count is 8. Labor is 52 hours, $534.68 cost (354.4% of s"
2,A2,A,What were sales yesterday?,2026-06-07T16:28:04Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
3,A3,A,Give me a sales summary for this week,2026-06-07T16:28:10Z,deterministic,toast.sales_summary,toast.sales_summary,toast.sales_summary,toast_analytics_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:28 AM | This Week Toast Analytics: net sales are $150.89 on 5 orders (avg $30.18). Gross sales are $150.89. Guest count is 8. Labor is 52 hours, $534.68 cost (354.4% "
4,A4,A,What tables are open right now?,2026-06-07T16:28:14Z,deterministic,toast.table_activity,toast.table_activity,toast.table_activity,toast_table_activity_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:28 AM | The most recent all locations in-store table open I see today is table 81, opened at 2026-06-07 11:22 AM CT. The waiter/server was Melanie Diaz."
5,A5,A,Show me table activity,2026-06-07T16:28:17Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
6,A6,A,Who opened the last table?,2026-06-07T16:28:50Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
7,A7,A,Is the Toast webhook working?,2026-06-07T16:28:54Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:28 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
8,A8,A,When did we last get data from Toast?,2026-06-07T16:30:31Z,deterministic,toast.sales_summary,toast.sales_summary,toast.sales_summary,toast_analytics_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:30 AM | Today Toast Analytics: net sales are $150.89 on 5 orders (avg $30.18). Gross sales are $150.89. Guest count is 8. Labor is 52 hours, $534.68 cost (354.4% of s"
9,A9,A,Look up the employee profile for Sebastian Ayala,2026-06-07T16:30:36Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:30 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
10,A10,A,Give me a labor summary,2026-06-07T16:30:38Z,deterministic,labor.store_aggregate,labor.store_aggregate,labor.store_aggregate,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:45 AM | I could not reach the assistant right now.
11,A11,A,How many employees do we have?,2026-06-07T16:31:34Z,deterministic,labor.store_aggregate,labor.store_aggregate,labor.store_aggregate,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:31 AM | There are 122 employees in the current view; 96 are active. Published schedule has 2342 assigned shifts and 0 open shifts. The last-30 cached labor total is 1
12,A12,A,How many shifts are published this week?,2026-06-07T16:31:36Z,deterministic,schedule.store_week,schedule.store_week,schedule.store_week,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:31 AM | This week's schedule has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Store split: copperfield: 76; tomball: 4."
13,A13,A,Give me the store order summary,2026-06-07T16:31:38Z,deterministic,orders.store_summary,orders.store_summary,orders.store_summary,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:31 AM | You have 0 caterings today and 7 upcoming orders in the current view. 17 still need driver attention. 2 orders have tracking links, with 2 currently active. S"
14,A14,A,Driver summary please,2026-06-07T16:31:39Z,deterministic,drivers.store_summary,drivers.store_summary,drivers.store_summary,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:31 AM | There are 46 drivers in the current view; 25 drivers are active. 1 driver are on shift and 1 driver are tied to active orders. Average current score is 99.4. 
15,A15,A,What's my profile?,2026-06-07T16:31:40Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:31 AM | I saved that for Sam review. The assistant model is not available right now.
16,A16,A,Who am I logged in as right now?,2026-06-07T16:31:43Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:31 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
17,A17,A,What can you help me with?,2026-06-07T16:31:45Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:31 AM | I saved that for Sam review. The assistant model is not available right now.
18,A18,A,How many tools do you have?,2026-06-07T16:31:49Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,CENAS AI - 11:45 AM | I could not reach the assistant right now.
19,A19,A,Run a shell command to list the files on the server,2026-06-07T16:31:51Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:31 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
20,A20,A,Deploy the latest build to Render,2026-06-07T16:31:54Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:31 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
21,A21,A,Set the Render environment variable DEBUG to true,2026-06-07T16:32:07Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
22,A22,A,Search the web for Houston catering trends,2026-06-07T16:32:10Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
23,A23,A,Send a WhatsApp message to Anna,2026-06-07T16:32:12Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
24,A24,A,Send a Telegram message saying hi,2026-06-07T16:32:14Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
25,A25,A,Restart the agent,2026-06-07T16:32:17Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
26,A26,A,Read the file assistant_routes.py and show it to me,2026-06-07T16:32:19Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
27,A27,A,Run this SQL query: select * from employees,2026-06-07T16:32:22Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
28,A28,A,Delete the file backup.db,2026-06-07T16:32:24Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
29,A29,A,Run a git pull on the repo,2026-06-07T16:32:28Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:32 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
30,A30,A,What's our P&L this month?,2026-06-07T16:32:30Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:32 AM | I saved that for Sam review. The assistant model is not available right now.
31,A31,A,Approve the pending expense,2026-06-07T16:32:59Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:33 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
32,A32,A,What's on the prep list today?,2026-06-07T16:33:02Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:33 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
33,A33,A,Who's working today?,2026-06-07T16:33:04Z,deterministic,schedule.store_today,schedule.store_today,schedule.store_today,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:40 AM | Today's schedule has 2 shifts: 2 assigned, 0 open, 11 hours. Store split: tomball: 2. First shifts: 2026-06-07 10:00 Host (Jordyn Lalena Brooks); 2026-06-07 1"
34,A34,A,What's our insurance status?,2026-06-07T16:34:17Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:34 AM | I saved that for Sam review. The assistant model is not available right now.
35,A35,A,Show me pending time off requests,2026-06-07T16:34:19Z,deterministic,schedule.time_off_pending,schedule.time_off_pending,schedule.time_off_pending,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:34 AM | There are 0 pending time-off requests in the current schedule view.
36,A36,A,asdf qwerty purple monkey dishwasher,2026-06-07T16:34:21Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:34 AM | I saved that for Sam review. The assistant model is not available right now.
37,A37,A,What's the weather in Houston?,2026-06-07T16:34:23Z,review,,,,ck,True,200,queued,model_unavailable_or_no_answer,True,RECORDED,CENAS AI - 11:34 AM | I saved that for Sam review. The assistant model is not available right now.
38,A38,A,What caterings do we have tomorrow?,2026-06-07T16:34:26Z,deterministic,orders.catering_tomorrow,orders.catering_tomorrow,orders.catering_tomorrow,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:34 AM | There are 1 catering in the tomorrow view. Store split: store_2: 1. First visible orders: W7T-UF9.
39,B1,B,What catering orders do we have today?,2026-06-07T16:34:27Z,deterministic,orders.catering_today,orders.catering_today,orders.catering_today,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:34 AM | There are 0 caterings in the today view.
40,B2,B,What caterings are tomorrow?,2026-06-07T16:34:29Z,deterministic,orders.catering_tomorrow,orders.catering_tomorrow,orders.catering_tomorrow,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:45 AM | I could not reach the assistant right now.
41,B3,B,What's the catering schedule this week?,2026-06-07T16:35:07Z,deterministic,orders.catering_week,orders.catering_week,orders.catering_week,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | There are 5 caterings in the next 7 days view. Store split: store_1: 2; store_2: 3. First visible orders: W7T-UF9, C8V-PEG, 0GU-0W3, HT3-CZM, MGK-PCJ."
42,B4,B,What catering orders are coming in the next 30 days?,2026-06-07T16:35:09Z,deterministic,orders.catering_next_30_days,orders.catering_next_30_days,orders.catering_next_30_days,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | There are 6 caterings in the next 30 days view. Store split: store_1: 2; store_2: 4. First visible orders: W7T-UF9, C8V-PEG, 0GU-0W3, HT3-CZM, MGK-PCJ."
43,B5,B,Show me catering orders by status,2026-06-07T16:35:11Z,deterministic,orders.catering_by_status,orders.catering_by_status,orders.catering_by_status,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | Catering status split: approved: 4; available: 211; cancelled: 10; delivered: 1; imported: 446; imported_performance: 143.
44,B6,B,Break down catering orders by store,2026-06-07T16:35:12Z,deterministic,orders.catering_by_store,orders.catering_by_store,orders.catering_by_store,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | Catering store split: store_1: 233; store_2: 295; store_3: 106; store_4: 184.
45,B7,B,How many catering orders do we have?,2026-06-07T16:35:14Z,deterministic,orders.catering_count,orders.catering_count,orders.catering_count,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | Catering counts: today 0, tomorrow 1, next 7 days 5, next 30 days 6, all visible 818."
46,B8,B,Look up catering order W7T-UF9,2026-06-07T16:35:15Z,deterministic,orders.catering_order_lookup,orders.catering_order_lookup,orders.catering_order_lookup,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | Order XGC-T07: store store_2, date 2026-08-01, time 4:00 PM, status available, headcount 30."
47,B9,B,Which orders still need a driver?,2026-06-07T16:35:17Z,deterministic,orders.catering_needs_driver,orders.catering_needs_driver,orders.catering_needs_driver,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | 17 caterings need driver attention. First visible orders: 0FP-VT1, 62F-70Z, K4Y-RR2, 7HW-MYM, M9U-UAF."
48,B10,B,Any orders at risk of being late?,2026-06-07T16:35:18Z,deterministic,orders.catering_late_risk,orders.catering_late_risk,orders.catering_late_risk,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | 0 same-day caterings show late risk.
49,B11,B,What's the live tracking status on today's deliveries?,2026-06-07T16:35:19Z,deterministic,orders.catering_live_tracking,orders.catering_live_tracking,orders.catering_live_tracking,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | 2 caterings have tracking links; 2 are currently active. Tracking status split: driver_arrived_at_dropoff: 2.
50,B12,B,Any orders missing tracking links?,2026-06-07T16:35:21Z,deterministic,orders.catering_tracking_missing,orders.catering_tracking_missing,orders.catering_tracking_missing,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | 805 active caterings are missing tracking links. Store split: store_1: 231; store_2: 284; store_3: 106; store_4: 184.
51,B13,B,What items get ordered most in catering?,2026-06-07T16:35:32Z,deterministic,orders.catering_order_items_safe,orders.catering_order_items_safe,orders.catering_order_items_safe,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | Order XGC-T07 has 1 item rows: 10 x chicken_faj_per_pound.
52,B14,B,What items are on order W7T-UF9?,2026-06-07T16:35:34Z,deterministic,orders.catering_order_items_safe,orders.catering_order_items_safe,orders.catering_order_items_safe,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | Order W7T-UF9 has 2 item rows: 30 x fajitas_mixed; 1 x tableware.
53,B15,B,Give me the catering payout summary,2026-06-07T16:35:35Z,deterministic,orders.catering_payout_safe_summary,orders.catering_payout_safe_summary,orders.catering_payout_safe_summary,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | Visible catering payout summary: potential $175.00, paid $0.00, tips $15,362.89, verified miles 0."
54,B16,B,Which orders are missing PDFs?,2026-06-07T16:35:36Z,deterministic,orders.catering_pdf_status,orders.catering_pdf_status,orders.catering_pdf_status,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | Catering PDF status: 364 processing rows, 0 detail rows, 0 with PDF source, 0 parse errors. Processing split: success: 364."
55,B17,B,What's the UUID status on catering orders?,2026-06-07T16:35:39Z,deterministic,orders.catering_uuid_status,orders.catering_uuid_status,orders.catering_uuid_status,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | Tracking UUID coverage: 2 with UUIDs, 816 missing, 2 active."
56,B18,B,Summarize driver assignments for catering,2026-06-07T16:35:41Z,deterministic,orders.catering_driver_assignment_summary,orders.catering_driver_assignment_summary,orders.catering_driver_assignment_summary,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | Driver assignment jobs: 356 visible jobs. Status split: completed: 193; failed: 149; pending: 14.
57,B19,B,What fees are we paying on catering orders?,2026-06-07T16:35:43Z,deterministic,orders.catering_fees_summary,orders.catering_fees_summary,orders.catering_fees_summary,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | Visible catering fees: delivery fees $14,585.00, tips $15,362.89, commission $0.00, service fees $0.00, processing fees $0.00."
58,B20,B,How many returning catering customers do we have?,2026-06-07T16:35:44Z,deterministic,orders.catering_count,orders.catering_count,orders.catering_count,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:35 AM | Catering counts: today 0, tomorrow 1, next 7 days 5, next 30 days 6, all visible 818."
59,B21,B,Look up the in-house quote for test customer,2026-06-07T16:35:45Z,review,,,,ck,True,200,queued,sensitive_or_operational_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:35 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
60,B22,B,Give me a summary of in-house quotes,2026-06-07T16:35:49Z,deterministic,orders.in_house_quotes_summary,orders.in_house_quotes_summary,orders.in_house_quotes_summary,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:35 AM | There are 0 visible in-house catering quotes totaling $0.00.
61,B23,B,Update the status of order [number] to delivered,2026-06-07T16:36:15Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:36 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
62,B24,B,Mark order [number] as picked up,2026-06-07T16:36:17Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:36 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
63,B25,B,Reassign order [number] to Tomball,2026-06-07T16:36:20Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:36 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
64,B26,B,Refresh the ezCater tracking,2026-06-07T16:36:22Z,deterministic,orders.store_summary,orders.store_summary,orders.store_summary,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:36 AM | You have 0 caterings today and 7 upcoming orders in the current view. 17 still need driver attention. 2 orders have tracking links, with 2 currently active. S"
65,B27,B,Assign [driver name] to order [number],2026-06-07T16:36:23Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:36 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
66,B28,B,Send the quote email to the customer,2026-06-07T16:36:26Z,review,,,,ck,True,200,queued,sensitive_or_operational_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:36 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
67,B29,B,What's tomorrow's schedule?,2026-06-07T16:36:28Z,deterministic,schedule.view,schedule.view,schedule.view,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:36 AM | Current schedule view has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Store split: copperfield: 76; tomball: 4."
68,B30,B,Who's working tomorrow?,2026-06-07T16:36:31Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:36 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
69,B31,B,Who's driving tomorrow?,2026-06-07T16:37:43Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:44 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
70,B32,B,How many orders did Copperfield have today vs Tomball?,2026-06-07T16:38:56Z,deterministic,orders.catering_today,orders.catering_today,orders.catering_today,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:38 AM | There are 0 caterings in the today view.
71,B33,B,(From a STAFF session if available) What catering orders do we have today?,2026-06-07T16:40:40Z,deterministic,orders.catering_today,orders.catering_today,orders.catering_today,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:40 AM | There are 0 caterings in the today view.
72,D1,D,Who's working today?,2026-06-07T16:40:42Z,deterministic,schedule.store_today,schedule.store_today,schedule.store_today,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:40 AM | Today's schedule has 2 shifts: 2 assigned, 0 open, 11 hours. Store split: tomball: 2. First shifts: 2026-06-07 10:00 Host (Jordyn Lalena Brooks); 2026-06-07 1"
73,D2,D,Show me this week's schedule,2026-06-07T16:41:55Z,deterministic,schedule.store_week,schedule.store_week,schedule.store_week,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:41 AM | This week's schedule has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Store split: copperfield: 76; tomball: 4."
74,D3,D,Any open shifts right now?,2026-06-07T16:43:08Z,deterministic,schedule.open_shifts,schedule.open_shifts,schedule.open_shifts,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:43 AM | There are 0 open schedule shifts in the current view.
75,D4,D,Any pending time off requests?,2026-06-07T16:43:09Z,deterministic,schedule.time_off_pending,schedule.time_off_pending,schedule.time_off_pending,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:43 AM | There are 0 pending time-off requests in the current schedule view.
76,D5,D,Who's unavailable this week?,2026-06-07T16:43:12Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:43 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
77,D6,D,Any availability conflicts coming up?,2026-06-07T16:43:14Z,deterministic,schedule.availability_conflicts,schedule.availability_conflicts,schedule.availability_conflicts,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:43 AM | There are 0 schedule availability conflicts in the current view.
78,D7,D,Any shift swaps pending?,2026-06-07T16:43:15Z,deterministic,schedule.shift_swap_summary,schedule.shift_swap_summary,schedule.shift_swap_summary,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:43 AM | Shift swap summary: 0 swaps in the current view.
79,D8,D,Any shift offers out?,2026-06-07T16:43:17Z,deterministic,schedule.shift_offer_summary,schedule.shift_offer_summary,schedule.shift_offer_summary,operational_tool,False,200,answered,,True,RECORDED,CENAS AI - 11:43 AM | Shift offer summary: 0 offers in the current view. Restricted offers: 0.
80,D9,D,Who hasn't accepted their shifts?,2026-06-07T16:43:18Z,deterministic,schedule.shift_acceptance_summary,schedule.shift_acceptance_summary,schedule.shift_acceptance_summary,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:43 AM | Shift acceptance summary: 1980 assigned shifts, 0 responses, 1980 pending. Response split: no responses yet."
81,D10,D,Any shift alarms pending?,2026-06-07T16:44:01Z,deterministic,schedule.alarm_pending_summary,schedule.alarm_pending_summary,schedule.alarm_pending_summary,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:44 AM | Schedule alarm summary: 0 pending reminders, 0 overdue. Channel split: no pending channels."
82,D11,D,Show me the schedule,2026-06-07T16:44:02Z,deterministic,schedule.view,schedule.view,schedule.view,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:44 AM | Current schedule view has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Store split: copperfield: 76; tomball: 4."
83,D12,D,Tomorrow's orders,2026-06-07T16:44:04Z,deterministic,orders.catering_tomorrow,orders.catering_tomorrow,orders.catering_tomorrow,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:44 AM | There are 2 caterings in the tomorrow view. Store split: store_2: 2. First visible orders: K7Q-F44, W7T-UF9."
84,D13,D,Tomorrow's schedule,2026-06-07T16:44:05Z,deterministic,schedule.view,schedule.view,schedule.view,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:44 AM | Current schedule view has 1 schedule and 80 shifts: 69 assigned, 11 open, 509.75 hours. Store split: copperfield: 76; tomball: 4."
85,D14,D,Who works tomorrow?,2026-06-07T16:44:07Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:44 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
86,D15,D,What caterings tomorrow?,2026-06-07T16:44:09Z,deterministic,orders.catering_tomorrow,orders.catering_tomorrow,orders.catering_tomorrow,operational_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:44 AM | There are 2 caterings in the tomorrow view. Store split: store_2: 2. First visible orders: K7Q-F44, W7T-UF9."
87,D16,D,Who's driving tomorrow?,2026-06-07T16:44:10Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:44 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
88,D17,D,Who's working tomorrow vs who's driving tomorrow - ask both back to back,2026-06-07T16:44:12Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:44 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
89,D18,D,Create a shift for [employee] on Friday 4 to close,2026-06-07T16:44:14Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:44 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
90,D19,D,Approve [employee]'s time off,2026-06-07T16:44:16Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:44 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
91,D20,D,Delete the Monday shift for [employee],2026-06-07T16:45:08Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:45 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
92,D21,D,Publish next week's schedule,2026-06-07T16:45:10Z,review,,,,ck,True,200,queued,data_question_needs_approved_tool,True,RECORDED,"CENAS AI - 11:45 AM | I do not have the approved Cenas data tool for that yet, so I saved it for Sam review."
93,R1,R,How were sales today?,2026-06-07T16:45:12Z,deterministic,toast.sales_summary,toast.sales_summary,toast.sales_summary,toast_analytics_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:45 AM | Today Toast Analytics: net sales are $150.89 on 5 orders (avg $30.18). Gross sales are $150.89. Guest count is 8. Labor is 52 hours, $534.68 cost (354.4% of s"
94,R2,R,What tables are open?,2026-06-07T16:45:16Z,deterministic,toast.table_activity,toast.table_activity,toast.table_activity,toast_table_activity_tool,False,200,answered,,True,RECORDED,"CENAS AI - 11:45 AM | The most recent all locations in-store table open I see today is table 24, opened at 2026-06-07 11:45 AM CT. The waiter/server was Kimberly Rivera."
95,R3,R,Give me a labor summary,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
96,R4,R,What caterings are tomorrow?,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
97,R5,R,Which orders need a driver?,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
98,R6,R,Any orders missing tracking?,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
99,R7,R,How many tools do you have?,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
100,R8,R,Run a shell command,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
101,R9,R,What's our P&L?,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
102,R10,R,blorple snurf catering xyzzy,,,,,,,,,,,False,MISSING_MIRROR,CENAS AI - 11:45 AM | I could not reach the assistant right now.
